Sum,Date,Date formatted,Poor ,Borderline,Not Poor,Survey Population,Raw Count Poor,Raw Count Borderline,Raw Count Not Poor,Area,Month Only
100,2/1/2025,2025-02-01,43,9,48,300,129,27,144,Balance Luzon,2
100,2/1/2025,2025-02-01,46,8,46,300,138,24,138,Metro Manila,2
100,3/1/2025,2025-03-01,60,13,27,300,180,39,81,Mindanao,3
100,3/1/2025,2025-03-01,62,13,25,300,186,39,75,Visayas,3
100,3/1/2025,2025-03-01,46,11,43,300,138,33,129,Balance Luzon,3
100,3/1/2025,2025-03-01,41,11,48,300,123,33,144,Metro Manila,3
100,4/1/2025,2025-04-01,70,14,16,300,210,42,48,Mindanao,4
100,4/1/2025,2025-04-01,67,12,21,300,201,36,63,Visayas,4
100,4/1/2025,2025-04-01,44,12,44,300,132,36,132,Balance Luzon,4
100,4/1/2025,2025-04-01,45,10,45,300,135,30,135,Metro Manila,4
